Date,Time (GMT),Verified (m)
2024/02/01,00:00,0.7135605511240031
2024/02/01,01:00,0.6113125453226977
2024/02/01,02:00,0.49093546047860775
2024/02/01,03:00,0.37273386511965195
2024/02/01,04:00,0.28353879622915157
2024/02/01,05:00,0.23712835387962294
2024/02/01,06:00,0.24510514865844818
2024/02/01,07:00,0.3270485859318347
2024/02/01,08:00,0.47788252356780286
2024/02/01,09:00,0.6453952139231329
2024/02/01,10:00,0.7592458303118202
2024/02/01,11:00,0.7824510514865847
2024/02/01,12:00,0.7280638143582308
2024/02/01,13:00,0.6330674401740394
2024/02/01,14:00,0.5206671501087746
2024/02/01,15:00,0.4068165337200871
2024/02/01,16:00,0.3139956490210297
2024/02/01,17:00,0.2581580855692531
2024/02/01,18:00,0.2487309644670051
2024/02/01,19:00,0.30094271211022483
2024/02/01,20:00,0.42204496011602616
2024/02/01,21:00,0.5772298767222626
2024/02/01,22:00,0.7019579405366209
2024/02/01,23:00,0.7498187092095724
2024/02/02,00:00,0.7186366932559828
2024/02/02,01:00,0.64394488759971
2024/02/02,02:00,0.5460478607686731
2024/02/02,03:00,0.44017403915881076
2024/02/02,04:00,0.3466279912980421
2024/02/02,05:00,0.28571428571428575
2024/02/02,06:00,0.2697606961566353
2024/02/02,07:00,0.30891950688905007
2024/02/02,08:00,0.4111675126903554
2024/02/02,09:00,0.5547498187092097
2024/02/02,10:00,0.6831036983321249
2024/02/02,11:00,0.7425670775924585
2024/02/02,12:00,0.7258883248730966
2024/02/02,13:00,0.6591733139956492
2024/02/02,14:00,0.5699782451051488
2024/02/02,15:00,0.47135605511240036
2024/02/02,16:00,0.37926033357505445
2024/02/02,17:00,0.312545322697607
2024/02/02,18:00,0.28353879622915157
2024/02/02,19:00,0.30021754894851344
2024/02/02,20:00,0.37345902828136335
2024/02/02,21:00,0.495286439448876
2024/02/02,22:00,0.6221899927483686
2024/02/02,23:00,0.6997824510514868
2024/02/03,00:00,0.7063089195068892
2024/02/03,01:00,0.6620739666424946
2024/02/03,02:00,0.591007976794779
2024/02/03,03:00,0.5061638868745469
2024/02/03,04:00,0.41914430746918063
2024/02/03,05:00,0.34952864394488764
2024/02/03,06:00,0.3110949963741842
2024/02/03,07:00,0.3139956490210297
2024/02/03,08:00,0.3662073966642495
2024/02/03,09:00,0.4677302393038434
2024/02/03,10:00,0.5881073241479334
2024/02/03,11:00,0.6765772298767224
2024/02/03,12:00,0.7019579405366209
2024/02/03,13:00,0.6715010877447427
2024/02/03,14:00,0.6105873821609864
2024/02/03,15:00,0.5337200870195795
2024/02/03,16:00,0.4525018129079043
2024/02/03,17:00,0.3799854967367658
2024/02/03,18:00,0.33357505438723717
2024/02/03,19:00,0.3205221174764323
2024/02/03,20:00,0.3480783176214649
2024/02/03,21:00,0.42131979695431476
2024/02/03,22:00,0.5264684554024657
2024/02/03,23:00,0.6221899927483686
2024/02/04,00:00,0.67005076142132
2024/02/04,01:00,0.6656997824510517
2024/02/04,02:00,0.6272661348803483
2024/02/04,03:00,0.5692530819434374
2024/02/04,04:00,0.49891225525743305
2024/02/04,05:00,0.42784626540971726
2024/02/04,06:00,0.37273386511965195
2024/02/04,07:00,0.34372733865119653
2024/02/04,08:00,0.34880348078317625
2024/02/04,09:00,0.39521392313270487
2024/02/04,10:00,0.48005801305293694
2024/02/04,11:00,0.5757795503988399
2024/02/04,12:00,0.6424945612762873
2024/02/04,13:00,0.660623640319072
2024/02/04,14:00,0.6395939086294419
2024/02/04,15:00,0.5931834662799131
2024/02/04,16:00,0.5315445975344454
2024/02/04,17:00,0.4633792603335751
2024/02/04,18:00,0.40319071791153016
2024/02/04,19:00,0.363306744017404
2024/02/04,20:00,0.350253807106599
2024/02/04,21:00,0.3705583756345178
2024/02/04,22:00,0.42929659173314005
2024/02/04,23:00,0.5134155184916607
2024/02/05,00:00,0.5917331399564904
2024/02/05,01:00,0.638143582306019
2024/02/05,02:00,0.6468455402465556
2024/02/05,03:00,0.6258158085569254
2024/02/05,04:00,0.5815808556925309
2024/02/05,05:00,0.521392313270486
2024/02/05,06:00,0.4568527918781727
2024/02/05,07:00,0.401015228426396
2024/02/05,08:00,0.3647570703408267
2024/02/05,09:00,0.35532994923857875
2024/02/05,10:00,0.3836113125453227
2024/02/05,11:00,0.4488759970993474
2024/02/05,12:00,0.5322697606961568
2024/02/05,13:00,0.6011602610587383
2024/02/05,14:00,0.638143582306019
2024/02/05,15:00,0.6403190717911532
2024/02/05,16:00,0.6120377084844091
2024/02/05,17:00,0.5605511240029007
2024/02/05,18:00,0.4967367657722988
2024/02/05,19:00,0.4358230601885425
2024/02/05,20:00,0.38651196519216824
2024/02/05,21:00,0.3575054387237129
2024/02/05,22:00,0.35823060188542427
2024/02/05,23:00,0.3966642494561277
2024/02/06,00:00,0.46700507614213205
2024/02/06,01:00,0.5518491660623641
2024/02/06,02:00,0.6207396664249457
2024/02/06,03:00,0.6577229876722265
2024/02/06,04:00,0.6577229876722265
2024/02/06,05:00,0.6236403190717913
2024/02/06,06:00,0.5634517766497463
2024/02/06,07:00,0.49093546047860775
2024/02/06,08:00,0.41914430746918063
2024/02/06,09:00,0.3611312545322698
2024/02/06,10:00,0.32922407541696885
2024/02/06,11:00,0.3364757070340827
2024/02/06,12:00,0.3886874546773024
2024/02/06,13:00,0.4757070340826687
2024/02/06,14:00,0.5707034082668602
2024/02/06,15:00,0.6424945612762873
2024/02/06,16:00,0.6729514140681655
2024/02/06,17:00,0.6598984771573606
2024/02/06,18:00,0.6105873821609864
2024/02/06,19:00,0.540246555474982
2024/02/06,20:00,0.4633792603335751
2024/02/06,21:00,0.3908629441624366
2024/02/06,22:00,0.3372008701957941
2024/02/06,23:00,0.31544597534445257
2024/02/07,00:00,0.33575054387237135
2024/02/07,01:00,0.4089920232052212
2024/02/07,02:00,0.517766497461929
2024/02/07,03:00,0.6250906453952141
2024/02/07,04:00,0.6968817984046412
2024/02/07,05:00,0.7157360406091372
2024/02/07,06:00,0.6823785351704136
2024/02/07,07:00,0.6105873821609864
2024/02/07,08:00,0.5170413343002177
2024/02/07,09:00,0.41841914430746924
2024/02/07,10:00,0.33357505438723717
2024/02/07,11:00,0.2784626540971719
2024/02/07,12:00,0.2675852066715011
2024/02/07,13:00,0.31544597534445257
2024/02/07,14:00,0.42349528643944895
2024/02/07,15:00,0.5583756345177666
2024/02/07,16:00,0.6715010877447427
2024/02/07,17:00,0.7295141406816534
2024/02/07,18:00,0.7251631617113853
2024/02/07,19:00,0.6686004350978971
2024/02/07,20:00,0.5786802030456855
2024/02/07,21:00,0.4742567077592459
2024/02/07,22:00,0.37418419144307474
2024/02/07,23:00,0.29659173313995657
2024/02/08,00:00,0.2530819434372734
2024/02/08,01:00,0.26540971718636697
2024/02/08,02:00,0.3517041334300218
2024/02/08,03:00,0.49891225525743305
2024/02/08,04:00,0.6519216823785353
2024/02/08,05:00,0.7563451776649748
2024/02/08,06:00,0.7868020304568529
2024/02/08,07:00,0.7440174039158812
2024/02/08,08:00,0.6504713560551125
2024/02/08,09:00,0.5271936185641771
2024/02/08,10:00,0.39956490210297324
2024/02/08,11:00,0.2915155910079768
2024/02/08,12:00,0.21827411167512695
2024/02/08,13:00,0.19289340101522845
2024/02/08,14:00,0.24510514865844818
2024/02/08,15:00,0.3850616388687455
2024/02/08,16:00,0.5663524292965918
2024/02/08,17:00,0.7200870195794056
2024/02/08,18:00,0.7991298042059465
2024/02/08,19:00,0.7918781725888326
2024/02/08,20:00,0.7171863669325599
2024/02/08,21:00,0.6011602610587383
2024/02/08,22:00,0.46627991298042065
2024/02/08,23:00,0.34155184916606246
2024/02/09,00:00,0.24437998549673678
2024/02/09,01:00,0.18636693255982598
2024/02/09,02:00,0.195794053662074
2024/02/09,03:00,0.3081943437273387
2024/02/09,04:00,0.5010877447425672
2024/02/09,05:00,0.6983321247280639
2024/02/09,06:00,0.828136330674402
2024/02/09,07:00,0.8564176939811459
2024/02/09,08:00,0.7947788252356781
2024/02/09,09:00,0.6729514140681655
2024/02/09,10:00,0.5199419869470633
2024/02/09,11:00,0.36838288614938364
2024/02/09,12:00,0.24510514865844818
2024/02/09,13:00,0.1559100797679478
2024/02/09,14:00,0.1211022480058013
2024/02/09,15:00,0.18854242204496013
2024/02/09,16:00,0.36838288614938364
2024/02/09,17:00,0.5960841189267586
2024/02/09,18:00,0.7824510514865847
2024/02/09,19:00,0.8680203045685281
2024/02/09,20:00,0.8462654097171866
2024/02/09,21:00,0.7461928934010154
2024/02/09,22:00,0.6011602610587383
2024/02/09,23:00,0.44089920232052215
2024/02/10,00:00,0.30021754894851344
2024/02/10,01:00,0.1907179115300943
2024/02/10,02:00,0.1211022480058013
2024/02/10,03:00,0.13995649021029735
2024/02/10,04:00,0.2886149383611313
2024/02/10,05:00,0.5286439448875998
2024/02/10,06:00,0.7614213197969545
2024/02/10,07:00,0.8999274836838291
2024/02/10,08:00,0.9122552574329227
2024/02/10,09:00,0.8237853517041336
2024/02/10,10:00,0.6744017403915882
2024/02/10,11:00,0.4981870920957216
2024/02/10,12:00,0.3321247280638144
2024/02/10,13:00,0.19869470630891956
2024/02/10,14:00,0.09717186366932562
2024/02/10,15:00,0.06236403190717913
2024/02/10,16:00,0.15736040609137056
2024/02/10,17:00,0.3814358230601886
2024/02/10,18:00,0.6482958665699784
2024/02/10,19:00,0.8498912255257434
2024/02/10,20:00,0.9238578680203048
2024/02/10,21:00,0.8759970993473534
2024/02/10,22:00,0.7483683828861496
2024/02/10,23:00,0.5786802030456855
2024/02/11,00:00,0.40319071791153016
2024/02/11,01:00,0.2545322697606962
2024/02/11,02:00,0.1363306744017404
2024/02/11,03:00,0.06598984771573604
2024/02/11,04:00,0.11022480058013054
2024/02/11,05:00,0.303118201595359
2024/02/11,06:00,0.5837563451776651
2024/02/11,07:00,0.8332124728063817
2024/02/11,08:00,0.9586656997824512
2024/02/11,09:00,0.9419869470630894
2024/02/11,10:00,0.8252356780275564
2024/02/11,11:00,0.6540971718636694
2024/02/11,12:00,0.4641044234952865
2024/02/11,13:00,0.293691080493111
2024/02/11,14:00,0.15373459028281367
2024/02/11,15:00,0.04713560551124004
2024/02/11,16:00,0.029006526468455404
2024/02/11,17:00,0.16388687454677306
2024/02/11,18:00,0.42929659173314005
2024/02/11,19:00,0.7171863669325599
2024/02/11,20:00,0.9086294416243657
2024/02/11,21:00,0.9514140681653374
2024/02/11,22:00,0.8730964467005078
2024/02/11,23:00,0.7222625090645396
2024/02/12,00:00,0.5366207396664251
2024/02/12,01:00,0.3575054387237129
2024/02/12,02:00,0.20884699057287892
2024/02/12,03:00,0.08992023205221175
2024/02/12,04:00,0.03625815808556926
2024/02/12,05:00,0.12037708484408993
2024/02/12,06:00,0.3575054387237129
2024/02/12,07:00,0.6598984771573606
2024/02/12,08:00,0.8984771573604062
2024/02/12,09:00,0.9876722262509067
2024/02/12,10:00,0.9361856417693983
2024/02/12,11:00,0.7976794778825238
2024/02/12,12:00,0.6134880348078319
2024/02/12,13:00,0.42131979695431476
2024/02/12,14:00,0.2538071065989848
2024/02/12,15:00,0.11385061638868746
2024/02/12,16:00,0.01812907904278463
2024/02/12,17:00,0.03625815808556926
2024/02/12,18:00,0.21682378535170418
2024/02/12,19:00,0.5090645395213924
2024/02/12,20:00,0.7882523567802757
2024/02/12,21:00,0.941261783901378
2024/02/12,22:00,0.941261783901378
2024/02/12,23:00,0.8353879622915158
2024/02/13,00:00,0.67005076142132
